Estimated_Insects_Count,Crop_Type,Soil_Type,Pesticide_Use_Category,Number_Doses_Week,Number_Weeks_Used,Number_Weeks_Quit,Season,Crop_Damage
188,1,0,1,0,0,0,1,0
209,1,0,1,0,0,0,2,1
257,1,0,1,0,0,0,2,1
257,1,1,1,0,0,0,2,1
342,1,0,1,0,0,0,2,1
448,0,1,1,0,0,0,2,1
448,0,1,1,0,0,0,2,1
577,1,0,1,0,0,0,1,2
731,0,0,1,0,0,0,2,0
1132,1,0,1,0,0,0,1,2
1212,1,0,1,0,0,0,3,0
1575,0,0,1,0,0,0,1,1
1575,0,1,1,0,0,0,2,1
1575,1,1,1,0,0,0,2,1
1575,1,1,1,0,0,0,2,2
1785,1,1,1,0,0,0,2,1
2138,0,1,1,0,0,0,1,1
2401,0,1,1,0,0,0,1,1
2401,1,1,1,0,0,0,2,1
2401,1,1,1,0,0,0,2,1
2999,0,1,1,0,0,0,3,1
3516,1,0,1,0,0,0,2,0
3895,1,1,1,0,0,0,1,1
4096,1,1,1,0,0,0,2,1
150,0,0,3,30,0,0,2,0
151,0,0,3,40,0,0,1,0
150,0,0,3,60,0,0,2,0
168,0,1,3,20,0,0,2,0
168,0,1,3,20,0,0,2,1
188,0,0,3,25,0,0,1,0
188,0,1,3,40,0,0,3,0
209,0,1,3,20,0,0,3,0
232,0,0,3,45,0,0,2,0
231,0,1,3,30,0,0,2,0
256,0,0,3,20,0,0,3,0
257,0,0,3,30,0,0,2,0
256,0,0,3,40,0,0,1,0
283,0,0,3,25,0,0,1,0
283,0,0,3,50,0,0,2,0
283,0,1,3,15,0,0,3,0
283,0,1,3,45,0,0,1,0
312,0,0,3,10,0,0,3,0
311,0,0,3,20,0,0,1,0
312,0,1,3,15,0,0,2,0
312,0,1,3,15,0,0,2,0
342,0,0,3,60,0,0,2,0
342,0,1,3,40,0,0,3,0
375,0,0,3,50,0,0,2,0
375,0,1,3,5,0,0,1,0
375,0,1,3,20,0,0,2,0
375,0,1,3,10,0,0,3,1
411,0,0,3,30,0,0,2,0
410,0,0,3,50,0,0,2,0
410,0,0,3,20,0,0,3,1
410,0,1,3,5,0,0,3,0
448,0,0,3,5,0,0,1,0
448,0,0,3,20,0,0,3,0
448,0,0,3,30,0,0,2,0
448,0,0,3,35,0,0,1,0
448,0,0,3,10,0,0,2,1
448,0,0,3,30,0,0,3,1
448,0,1,3,20,0,0,2,0
448,0,1,3,25,0,0,1,0
448,0,1,3,25,0,0,2,0
448,0,1,3,40,0,0,1,0
448,0,1,3,45,0,0,2,0
448,0,1,3,60,0,0,1,0
448,0,1,3,70,0,0,3,0
488,0,0,3,15,0,0,3,0
488,0,0,3,25,0,0,3,0
488,0,0,3,30,0,0,2,0
488,0,0,3,35,0,0,3,0
488,0,0,3,60,0,0,1,0
488,0,0,3,10,0,0,1,1
488,0,0,3,20,0,0,1,1
488,0,1,3,10,0,0,2,0
488,0,1,3,20,0,0,2,0
489,0,1,3,25,0,0,1,0
488,0,1,3,60,0,0,1,1
531,0,0,3,5,0,0,1,0
531,0,0,3,20,0,0,1,0
531,0,0,3,50,0,0,2,0
531,0,0,3,20,0,0,1,1
531,0,1,3,5,0,0,1,0
531,0,1,3,20,0,0,1,0
531,0,1,3,60,0,0,2,0
577,0,0,3,20,0,0,2,0
577,0,0,3,50,0,0,3,0
577,0,1,3,30,0,0,2,0
577,0,1,3,30,0,0,1,0
577,0,1,3,55,0,0,1,0
577,0,1,3,60,0,0,1,0
577,0,1,3,15,0,0,2,1
626,0,0,3,20,0,0,2,0
625,0,0,3,30,0,0,3,0
625,0,0,3,40,0,0,1,0
625,0,0,3,50,0,0,2,0
626,0,1,3,5,0,0,1,0
625,0,1,3,20,0,0,3,0
625,0,1,3,25,0,0,3,0
626,0,1,3,80,0,0,2,0
626,0,1,3,20,0,0,2,1
625,0,1,3,10,0,0,2,1
625,0,1,3,30,0,0,1,2
677,0,0,3,15,0,0,3,0
677,0,0,3,20,0,0,2,0
677,0,0,3,50,0,0,2,1
677,0,1,3,35,0,0,2,0
677,0,1,3,40,0,0,2,0
677,0,1,3,50,0,0,2,0
732,0,0,3,20,0,0,2,1
732,0,0,3,40,0,0,2,1
732,0,0,3,50,0,0,2,2
731,0,1,3,10,0,0,3,0
731,0,1,3,10,0,0,1,0
731,0,1,3,60,0,0,2,0
732,0,1,3,30,0,0,3,1
789,0,0,3,40,0,0,3,0
789,0,0,3,50,0,0,2,0
790,0,0,3,60,0,0,2,0
789,0,0,3,25,0,0,1,1
790,0,0,3,20,0,0,2,1
789,0,0,3,60,0,0,1,1
789,0,1,3,25,0,0,2,0
790,0,1,3,40,0,0,1,0
789,0,1,3,30,0,0,1,1
789,0,1,3,20,0,0,2,1
851,0,0,3,20,0,0,3,0
851,0,0,3,20,0,0,3,0
851,0,0,3,25,0,0,2,0
851,0,0,3,60,0,0,1,1
851,0,1,3,15,0,0,3,0
